id	document	citations	total link strength
1	ben-efraim (2018)	3	14
2	nishide (2020)	1	27
3	liu (2015)	8	69
4	xiao (2020)	36	8
5	jafargholi (2020)	2	59
6	prabhakaran (2014)	2	61
7	dowsley (2015)	7	67
8	hemenway (2016)	36	68
9	sattath (2009)	0	30
10	green (2023)	0	40
11	canetti (2016)	34	6
12	fisch (2015)	4	57
13	bellare (2012a)	373	18
14	huang (2014)	48	27
15	anonymous	0	0
16	karl (2022)	0	13
17	agrawal (2014)	4	65
18	zhao (2019)	3	33
19	huang (2010)	6	0
20	mainetti (2023)	3	4
21	eldridge (2022)	0	49
22	liu (2014a)	10	33
23	chung (2019)	7	30
24	goyal (2017)	22	47
25	krenn (2021)	0	3
26	liu (2014b)	10	78
27	alagic (2017)	22	7
28	kitamura (2017)	2	8
29	gaddam (2023)	0	17
30	goyal (2010)	117	82
31	chen (2016)	1	0
32	wang (2016)	9	9
33	döttling (2011)	31	70
34	liu (2023)	0	0
35	goyal (2022)	8	3
36	almashaqbeh (2022)	0	11
37	durnoga (2014)	3	46
38	broadbent (2013)	58	46
39	bellare (2012b)	64	50
40	roehsner (2021)	6	10
41	järvinen (2010)	26	49
42	roehsner (2018)	14	16
